pimprod2008477,DERMA E,Anti-Aging Regenerative Serum,Treatment & Serums,Face Serums,$28.00,2.0 oz,https://media.ulta.com/i/ulta/2555004?w=100&h=100&fmt=auto,156 Reviews,"Benefits
Gently exfoliates and promotes healthy cell renewal to help diminish the appearance of fine lines, wrinkles, and dull skin without visible irritation or redness
Combats signs of premature aging
Helps keep skin soft and smooth for a more radiant, healthy, and younger-looking complexion
Features
Recyclable & wind energy certified
Formulated without GMOs, gluten, or soy
Key Ingredients
Retinol: helps minimize the appearance of fine lines and wrinkles
Bakuchiol: boosts Retinol’s effectiveness; helps reduce visible signs of irritation and redness
Glycolic Acid: helps exfoliate to gently remove dead surface skin cells
Vitamin E: an antioxidant that helps nourish and improve the appearance of skin's texture
Green Tea Extract: protects against everyday stressors
Avocado, Sesame & Sunflower Seed Oils: leave skin soft, smooth, and supple
Choosing between DERMA E's Retinol Concentrated Serum or Anti-Aging Regenerative Serum? Both include a non-irritating Retinol+Bakuchiol. For added barrier protection with Pomegranate Extract, choose the Concentrated Serum. For added exfoliation, choose the Regenerative Serum with Glycolic Acid
Item 2555004","Purified Water, Glycerin (Vegetable Derived), Coco-Caprylate (Coconut Derived), Xanthan Gum, Capryloyl Glycerin/Sebacic Acid Copolymer, Diheptyl Succinate, Camellia Sinensis (Green Tea) CO Leaf Extract, Tocopheryl Acetate (Vitamin E), Retinol, Bakuchiol, Panthenol (Provitamin B5), Glyceryl Stearate (Vegetable Derived), Glyceryl Stearate Citrate (Vegetable Derived), Potassium Cetyl Phosphate, Glycolic Acid, Sodium Hydroxide, Lavandula Angustifolia (Lavender) Oil, Helianthus Annuus (Sunflower) Seed Oil, Persea Gratissima (Avocado) Oil, Sesamum Indicum (Sesame) Seed Oil, Polysorbate 20, Salvia Officinalis (Sage) Oil, Beta-Caryophyllene, Eucalyptol, Orange Terpenes, Alpha Pinene, Camphor, Citral, Geranyl Acetate, Mentha Viridis (Spearmint) Leaf Oil, Citronellal, Phenoxyethanol, Ethylhexylglycerin.","Start by using 1 to 2 times a week, then gradually increase frequency to daily use.  Recommended for nighttime use. After cleansing, apply a small amount of serum to your dry face and neck and allow it to absorb. Use alone or with your favorite DERMA E moisturizer. Follow with SPF in the morning."
pimprod2037763,CHANEL,N°1 DE CHANEL Revitalizing Rich Cream,Moisturizers,Face Moisturizer,$105.00,1.7 oz Refill,https://media.ulta.com/i/ulta/2605435?w=100&h=100&fmt=auto,12 Reviews,"Key Ingredients
All forms of the camellia are infused at the heart of N°1 DE CHANEL RICH REVITALIZING CREAM.
Red Camellia Extract helps protect against oxidation caused by pollution while also addressing the appearance of the 5 signs of aging.
Red Camellia Oil, Camellia Yeast Extract and ceramides help maintain skin’s barrier function, plus provide comfort and hydration.
Camellia water delivers a feeling of freshness.
Item 2605435","Camellia Japonica Flower Water, Aqua (Water), Glycerin, Moringa Oil/Hydrogenated Moringa Oil Esters, Octyldodecyl Myristate, Cetearyl Alcohol, Camellia Oleifera Seed Oil, Behenyl Alcohol, Camellia Japonica Seed Oil, Pentaerythrityl Stearate/Caprate/Caprylate/Adipate, Olus (Vegetable Oil), Panthenol, Propanediol, Faex (Yeast Extract), Camellia Japonica Flower Extract, Ceramide NP, Phytosphingosine, Cetearyl Glucoside, Pentylene Glycol, Carbomer, Glyceryl Stearate SE, Sodium Stearoyl Glutamate, Parfum (Fragrance), Chlorphenesin, Caprylyl Glycol, Camelina Sativa Seed Oil, Sodium Hydroxide, Sodium Hyaluronate, Adenosine, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Lactic Acid, 1,2-Hexanediol, Phytic Acid, Hydrogenated Lecithin, Tocopherol, Sodium Citrate, Palmitoyl Tetrapeptide-7, Sodium Benzoate, Citric Acid, BS000027B.","As part of the N°1 DE CHANEL line's eco-responsible approach, N°1 DE CHANEL RICH REVITALIZING CREAM can be refilled as many times as desired, limiting its carbon footprint. Simply place the refill inside your empty jar. Refilling just twice reduces the cream's greenhouse gas emissions by an estimated half.
Morning and night, apply N°1 DE CHANEL RICH REVITALIZING CREAM to the entire face, neck and décolleté, tapping lightly with your fingertips. Using the palms of your hands, gently smooth from the jaw up to the ears, from the sides of the nose to the ears, from the center of the forehead to the temples and from the ears down to the décolleté."
pimprod2031531,The Ordinary,Amino Acids + B5 Hydration Serum,Treatment & Serums,Face Serums,$9.20,1.0 oz,https://media.ulta.com/i/ulta/2595969?w=100&h=100&fmt=auto,213 Reviews,"Benefits
Targets dryness
Targets fine lines and wrinkles
Targets Loss of firmness and elasticity
This formula combines amino acids and vitamin B5 for hydrated, healthy-looking skin
Key Ingredients
Amino Acids: found in the skin's own Natural Moisturizing Factors and provides enhanced barrier support, elasticity, and balance
Vitamin B5: a pro-vitamin of vitamin B5 to provide surface and below-surface hydration while aiding in skin repair and anti-irritant functions
Item 2595969","Water, Propanediol, Betaine, Sodium Pca, Panthenol, Sodium Lactate, Arginine, Pca, Aspartic Acid, Glycine, Alanine, Serine, Threonine, Valine, Proline, Isoleucine, Lysine Hcl, Histidine, Phenylalanine, Glutamic Acid, Citric Acid, Dimethyl Isosorbide, Polysorbate 20, Trisodium Ethylenediamine Disuccinate, 1,2-hexanediol, Caprylyl Glycol.","Apply a few drops to face in the AM and PM before creams. A tingling sensation can be expected after application. If the sensation is too strong to tolerate, the formula can be mixed with other creams or serums of your preference before each application to reduce the strength."
pimprod2020818,Avène,RICH Revitalizing Nourishing Cream,Moisturizers,Face Moisturizer,$42.00,1.6 oz,https://media.ulta.com/i/ulta/2577352?w=100&h=100&fmt=auto,165 Reviews,"Benefits
Ultra- rich cream helps restore skin's natural, healthy barrier while preventing moisture loss
Formulated to minimize risk of allergic reactions
Won't clog pores
Skin's natural barrier is left strengthened, helping protect against environmental stress and pollution for a natural flowing complexion
Immediately replenishes lipids while preventing moisture loss to dull, fatigued skin
Skin is revitalized, soft and glowing
Key Ingredients
Red Fruit Extract helps restore skin's natural healthy barrier by providing nutrient rich lipids
Pre-Tocopheryl, a photostable form of Vitamin E, provides powerful antioxidant protection against free radicals
Shea Butter intensely nourishes and provides comfort
Avène Thermal Spring Water clinically proven to soothe, soften and calm skin
Formulated Without
Paraben
Soy
Wheat
Mineral Oil
Animal derived ingredients
Item 2577352","Avène Thermal Spring Water (Avene Aqua), Butyrospermum Parkii (Shea) Butter (Butyrospermum Parkii Butter), Glycerin, Octyldodecanol, Mineral Oil (Paraffinum Liquidum), Cetearyl Alcohol, Dimethicone, Isododecane, Methyl Gluceth-20, Pentylene Glycol, Water (Aqua), Silica, Cetyl Esters, Cetearyl Glucoside, Glyceryl Stearate, Peg100 Stearate, Benzoic Acid, Caprylic/Capric Triglyceride, Ethylhexylglycerin, Fragrance (Parfum), Hydrogenated Starch Hydrolysate, Polyacrylate-13, Polyisobutene, Polysorbate 20, Ribes Rubrum (Currant) Fruit Extract (Ribes Rubrum Fruit Extract), Rubus Idaeus (Raspberry) Fruit Extract (Rubus Idaeus Fruit Extract), Sodium Benzoate, Sodium Hydroxide, Sorbitan Isostearate, Tocopherol, Tocopheryl Glucoside, Vaccinium Myrtillus Fruit Extract, Xanthan Gum.","Apply morning and/or evening on the face and neck after cleansing the skin.
Precautions: For external use only. Avoid contact with the eyes."
pimprod2032769,Mario Badescu,Good Skin is Forever & For All Dewy Kit,By Category,Skin Gifts,$25.00,,https://media.ulta.com/i/ulta/2594704?w=100&h=100&fmt=auto,20 Reviews,"Includes
Gentle Foaming Cleanser (2.0 oz)
Hyaluronic Dew Cream (0.5 oz)
Caffeine Eye Cream (0.169 oz)
Facial Spray with Aloe, Adaptogens and Coconut Water (1.0 oz)
Hyaluronic Dew Drops (0.14 oz)
Item 2594704",See individual packaging for a full list of ingredients.,"Step 1. Gentle Foaming Cleanser*: Dampen face and gently massage cleanser in circular motions using your fingertips, then rinse thoroughly with warm water.
Step 2. Hyaluronic Dew Drops*: Apply 3-4 drops to the face and neck after cleansing and toning (avoiding the eye area).
Step 3. Caffeine Eye Cream*: Pat a small amount of cream under and around the eye area using the ring finger. Follow the orbital bone from the inner corners to the outermost corners. Tingling or feeling of warmth is normal. Avoid direct contact with eyes.
Step 4 Hyaluronic Dew Cream*: Apply to skin after cleansing and toning, avoiding the eye area. May be used day and/or night. If used during the day, be sure to follow with UVA./UVB protection.
Bonus: Facial Spray with Aloe, Adaptogens and Coconut Water*: Mist onto face, neck, or hair as needed. Use it to infuse more hydration before or after applying moisturizer, as a pick-me-up on the go, or post-makeup application to give skin a dewy finish.
*If product gets into eyes, rinse well with water."
pimprod2050377,TONYMOLY,Plum Bum Tightening Peptide Body Serum,Treatment & Serums,Body Treatments,$17.00,6.76 oz,https://media.ulta.com/i/ulta/2636827?w=100&h=100&fmt=auto,26 Reviews,"Benefits
This moisturizing serum is great for both body and face as it absorbs into the skin immediately with a light, moist finish and leaves no stickiness.
Anti-Inflammatory: Relieves skin inflammation and irritation.
Strengthens Skin Barrier: Peptides help to strengthen and fortify the skin barrier.
Non-Sticky Finish: Absorbs quickly with a light, non-sticky finish, making it ideal for daily use.
Clinical studies show that following this regimen for 8 weeks resulted in a 5.8% reduction in dimpled skin, a 13.3% improvement in skin smoothness, and 95% of participants reporting softer, firmer, and more hydrated skin
Participants reported their skin felt firmer and more hydrated, with visible lifting effects after using the tightening peptide serum.
Key Ingredients
Plum extract: Brightens, soothes, and promotes collagen production, improving skin elasticity and reducing the appearance of dark spots, fine lines, and redness
Peptides: Support skin elasticity, reduce the appearance of unevenness, and promote a smoother complexion, enhancing overall skin texture and firmness.
Glycerin: Attracts moisture to the skin, helping to keep it hydrated, soft, and supple.
Formulated Without
Parabens
Sulfates
Alcohol
Phthalates
Item 2636827","Water, Glycerin, Butylene Glycol, Cyclopentasiloxane, 1,2-Hexanediol, Caprylic/Capric Triglyceride, Cetearyl Alcohol, Polyglyceryl-3 Methylglucose Distearate, Glyceryl Stearate, Cyclohexasiloxane, Glyceryl Polymethacrylate, Tromethamine, Carbomer, Hydroxyacetophenone, Silica, Glyceryl Acrylate/Acrylic Acid Copolymer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Disodium EDTA, Arctium Lappa Root Extract, Phellinus Linteus Extract, Centella Asiatica Extract, Portulaca Oleracea Extract, Vitex Agnus-Castus Extract, Chamomilla Recutita (Matricaria) Flower Extract, Prunus Salicina Fruit Extract(300ppb), Ascorbic Acid, Copper Tripeptide-1(10ppb), Fragrance.","After cleansing, dispense an appropriate amount in palm. Gently pat serum into skin. Can be used on both face and body! TIP! For an extra cooling effect, store serum in the fridge!"
pimprod2048366,Differin,Acne Prone Skin Patches,Treatment & Serums,Acne & Blemish Treatments,$11.49,36 ct,https://media.ulta.com/i/ulta/2632859?w=100&h=100&fmt=auto,375 Reviews,"Benefits
Formulated with salicylic acid to exfoliate to help shrink the appearance of imperfections
Made with triple-action technology to flatten, soothe and protect the area
Make-up friendly, waterproof and sweatproof so you can wear them for any occasion
Tested by Dermatologists
Key Ingredients
Salicylic Acid - helps to exfoliate the skin
Item 2632859","Acrylates Copolymer, Aqua, Alcohol Denat., Vinyl Caprolactam/VP/Dimethylaminoethyl Methacrylate Copolymer, PVP, Salicylic Acid, Houttuynia Cordata Extract, Sorbic Acid, Butylene Glycol, Epilobium Angustifolium Flower/Leaf/Stem Extract, Sodium Hydroxide, Phenoxyethanol, Centella Asiatica Extract, 1,2-Hexanediol, Sodium Metabisulfite, Melaleuca Alternifolia (Tea Tree) Extract, Madecassoside.","After cleaning and drying the area, place a patch on the imperfection. Leave it on for 4 to 12 hours, remove, and discard. Reapply a new patch as necessary."
pimprod2050236,Murad,Superactive Deep-Hydration Moisturizer SPF 50 with Hyaluronic Acid,Moisturizers,Face Moisturizer,$49.00,1.7 oz,https://media.ulta.com/i/ulta/2635512?w=100&h=100&fmt=auto,88 Reviews,"Benefits
Supercharged 3-in-1 moisturizer floods skin with deep, intense hydration instantly to leave skin feeling plump and bouncy
Packed with skin-quenching hyaluronic acid that deeply nourishes skin for all-day moisture
High-level, ultra-sheer SPF 50 with no white cast
Non-comedogenic, lightweight and fast-absorbing
Layers well under makeup
Key Ingredients
Hyaluronic Acid Technology: provides immediate and long-lasting, layers-deep hydration
Ultra-sheer SPF 50: helps prevent premature aging from UVA/UVB damage
Research Results
Floods skin with deep, intense hydration instantly
Skin instantly feels plumper, bouncier, and more nourished*
*2-week consumer perception study on 31 participants, Fitzpatrick II-IV
Item 2635512","Active: Avobenzone 3.0%, Homosalate 7.0%, Octisalate 5.0%, Octocrylene 5.0%. Inactive: Water (Aqua), Propanediol, Butyloctyl Salicylate, Coco-Caprylate/Caprate, Glycerin, Polyglyceryl-3 Methylglucose Distearate, Sodium Hyaluronate, Hyaluronic Acid, Urea, Yeast Amino Acids, Trehalose, Inositol, Taurine, Betaine, Tocopherol, Persea Gratissima (Avocado) Oil, Hydrogenated Vegetable Oil, 1,2-Hexanediol, Caprylic/Capric Triglyceride, Sodium Stearoyl Glutamate, Polyacrylate Crosspolymer-6, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Caprylhydroxamic Acid, Tetrasodium Glutamate Diacetate, Leuconostoc/Radish Root Ferment Filtrate, Sodium Hydroxide, Chlorphenesin, Limonene, Linalool, Pinene, Linalyl Acetate, Fragrance (Parfum), Iron Oxides (CI 77492).","To Use: AM
Apply liberally over face, neck, and chest.
For external use only. Avoid contact with eyes. Keep out of reach of children. If swallowed, get medical help or contact a Poison Control Center right away."
pimprod2041296,Cetaphil,Healthy Renew Purified Peptides Eye Gel Serum,Eye Treatments,Eye Serums,$28.99,0.50 oz,https://media.ulta.com/i/ulta/2611321?w=100&h=100&fmt=auto,492 Reviews,"Benefits
Hydrates for up to 24 hours
Boosts skin luminosity
2 WEEKS - Reduces the appearance of fine lines
CLINCALLY PROVEN RESULTS: 93% of consumers agreed skin around the eye stays hydrated all day long
Developed with Dermatologists. Designed for even the most sensitive skin
Hypoallergenic
Non-comedogenic
Key Ingredients
HIGHLY PURIFIED PEPTIDES - Retinol alternative to help minimize the look of fine lines and wrinkles
BOTANICAL EXTRACTS (Edelweiss + Rice Lees) - help target dullness and uneven skin tone
PRO-VITAMIN B5 + VITAMIN B3 - Helps hydrate, repair skin’s barrier and soothe skin
Formulated Without
Parabens
Sulfates
Item 2611321","Water, Glycerin, Propanediol, Panthenol, 1, 2-Hexanediol, Niacinamide, C13-15 Alkane, Butyrospermum Parkii (Shea) Butter, Cocos Nucifera (Coconut) Oil, Sodium Polyacryloyldimethyl Taurate, Hydrogenated Polydecene, Silica, Tocopheryl Acetate, Vinyl Dimethicone, C14-22 Alcohols, Leontopodium Alpinum Extract, Polyglyceryl-2 Stearate, Polyacrylate-13, C12-20 Alkyl Glucoside, Oryza Sativa (Rice) Lees Extract, Glyceryl Stearate, Stearyl Alcohol, Polyisobutene, Hydrolyzed Soy Flour, Adenosine, Dimethicone/Vinyl Dimethicone Crosspolymer, Butylene Glycol, Trisodium Ethylenediamine Disuccinate, Acacia Senegal Gum, Citric Acid, Agar, Caprylyl Glycol, Polysorbate 20, Sodium Benzoate, Sorbitan Isostearate, Potassium Sorbate, Sodium Hyaluronate, Xanthan Gum, Ethylhexyl Glycerin, Buddleja Davidii Extract, Thymus Vulgaris (Thyme) Extract.",Apply a pearl-sized amount around the eye area morning and night and smooth until absorbed.
pimprod2051235,fresh,Mini Lotus Youth Preserve Radiance Renewal Night Cream,Moisturizers,Night Cream,$25.00,0.5 oz,https://media.ulta.com/i/ulta/2617057?w=100&h=100&fmt=auto,"4,897 Reviews","Benefits
Smoothes lines & texture and improves radiance
Recovers & reduces signs of fatigue
Minimizes visible pores
Key Ingredients
Super Lotus smoothes lines & helps to boost radiance
Star fruit leaf extract smoothes while helping to reduce visible wrinkles
Polyglutamic acid works to lock in moisture & comfort
Vitamin E helps protect & soothe
Research Results
After 1 night, consumers saw +28% radiance*
After 28 nights, consumers saw +55% radiance** +36% smoother lines** -22% signs of fatigue** -62% visible pores***
*observed results, self-assessment by scoring, 32 subjects, 1 night
**observed results, self-assessment by scoring, 32 subjects, 4 weeks
***observed results, self-assessment by scoring, 20 subjects, 4 weeks
Item 2617057","Aqua (water), Glycerin, Propylene Glycol Dicaprylate/dicaprate, Butylene Glycol, Caprylic/capric Triglyceride, Pentylene Glycol, Cetearyl Alcohol, C10-18 Triglycerides, Diglycerin, Myristyl Myristate, Glyceryl Stearate, Butyrospermum Parkii (shea) Butter, Nelumbo Nucifera Extract, Prunus Persica (peach) Leaf Extract, Citrus Limon (lemon) Peel Oil, Cucumis Sativus (cucumber) Fruit Extract, Glycine Soja (soybean) Oil, Helianthus Annuus (sunflower) Seed Oil, Tocopheryl Acetate, Tocopherol, Cetearyl Glucoside, Caprylyl Glycol, Ammonium Acryloyldimethyltaurate/vp Copolymer, Behenyl Alcohol, Sodium Stearoyl Glutamate, Cetyl Palmitate, Cocoglycerides, Acrylates/c10-30 Alkyl Acrylate Crosspolymer, Parfum (fragrance), Sodium Polyglutamate, Sodium Hydroxide, 1,2-hexanediol, Sodium Phytate, Chlorphenesin, Sodium Metabisulfite, Potassium Sorbate, Sodium Benzoate, Limonene, Citral, Linalool \<18941\>.",Apply to clean skin before bed. Can be used nightly.
pimprod2038156,StriVectin,Multi-Action Clear: Acne Control System,Treatment & Serums,Acne & Blemish Treatments,$39.00,,https://media.ulta.com/i/ulta/2606170?w=100&h=100&fmt=auto,108 Reviews,"Benefits
Daily Gentle Clarifying Cleanser has complexion clarifying power that won't strip skin's barrier. This gel-to-foam, frothy cleanser removes excess oil and pore-clogging build up
Daily Brightening & Retexturizing Toner Visibly corrects uneven tone and texture common to blemish-prone skin
Acne Clearing Treatment Lotion helps stop breakouts before they begin. This clinical strength acne treatment features 2% Salicylic Acid to visibly clear skin and help prevent future breakouts
Includes
Step 1: Daily Gentle Clarifying Cleanser (2.0 oz)
Step 2: Daily Brightening & Retexturizing Toner (2.0 oz)
Step 3: Acne Clearing Treatment Lotion (0.5 oz)
Research Results
IN JUST 7 DAYS*:
97% reported a clearer-looking complexion
91% reported improvement in the look of post-acne marks
100% reported routine does not dry out skin
*Based on results from self-assessment questionnaire completed by 30 subjects when used as directed
Item 2606170","Multi-Action Clear: Foaming Clarifying Cleanser: Water/Aqua/Eau, Glycerin, Cocamidopropyl Hydroxysultaine, Sodium C14-16 Olefin Sulfonate, Decyl Glucoside, Sodium Chloride, Betaine, Saccharide Isomerate, Zinc PCA, Polyglyceryl-4 Caprate, Polygyceryl-6 Caprylate, Salicylic Acid, 1,2-Hexanediol, Caprylyl Glycol, Fragrance (Parfum), Citric Acid, Sodium Hydroxide, Benzoic Acid, Aloe Barbadensis Leaf Juice, Myristyl Nicotinate, Epilobium Fleischeri Flower/Leaf/Stem Extract, Camellia Sinensis Leaf Extract, Sodium Citrate, Quillaja Saponaria Wood Extract, Hydroxyacetophenone, Potassium Sorbate, Saponaria Officinalis Leaf/Root Extract, Geraniol, Linalool, Benzyl Salicylate.
Multi-Action Clear: Correcting Toner: Water/Aqua/Eau, Propanediol, Alcohol Denat., Caprylyl/Capryl Glucoside, Acetyl Glucosamine, Dimethyl Isosorbide, Ethoxydiglycol, Succinic Acid, Butylene Glycol, Sodium Hydroxide, Salicylic Acid, Allantoin, Fragrance (Parfum), Sodium Benzoate, Potassium Sorbate, Myristyl Nicotinate, Tranexamic Acid, Phytic Acid, Xylitol, Caprylic Acid, Sodium Carbonate, Sodium Chloride, t-Butyl Alcohol, Polyglutamic Acid, Dextran, Tripeptide-1, Denatonium Benzoate, Linalool, Geraniol, Benzyl Salicylate.
Multi-Action Clear: Acne Clearing Treatment Lotion Active: Salicylic Acid 2.00%.
Inactive: Aqua/Water/Eau, Propanediol, Isononyl Isononanoate, Triheptanoin, C9-12 Alkane, Glyceryl Stearate, PEG-100 Stearate, Diheptyl Succinate, Isopentyldiol, Capryloyl Glycerin/Sebacic Acid Copolymer, Glycerin, Polyacrylate Crosspolymer-6, Cetyl Alcohol, Benzyl Alcohol, Saccharide Isomerate, Bakuchiol, Myristyl Nicotinate, Trifolium Pratense (Clover) Flower Extract, Backhousia Citriodora Leaf Extract, Zingiber Officinale (Ginger) Root Extract, Coco-Caprylate/Caprate, Bisabolol, Xylitol, Caprylhydroxamic Acid, Xanthan Gum, Caprylic Acid, Parfum/Fragrance, Pentylene Glycol, Beta-Glucan, Hydrolyzed Algin, Caprylyl Glycol, Carnitine, Citric Acid, Sodium Citrate, Polylysine, Sodium Hydroxide, Geraniol, Linalool, Benzyl Salicylate.",
pimprod2043262,belif,Moisturizing Eye Bomb Eye Cream,Eye Treatments,Eye Cream,$48.00,0.84 oz,https://media.ulta.com/i/ulta/2619879?w=100&h=100&fmt=auto,92 Reviews,"Key Ingredients
Peptide: Helps improve skin's elasticity
Ceramide: Helps improve skin's moisture barrier
Squalane: Helps stabilize the skin's moisture barrier and maintain skin hydration
Research Results
Clinically tested to retain skin's moisture for up to 48 hours
Clinically shown to provide firmness targeting 3 areas: eye bags, crow's feet, eyelids
Clinically tested to provide up to 48 hours of moisture and improve skin's elasticity
96% agree the skin around the eyes looks smoother after 2 weeks of use*
93% agree it feels like the eye skin area firmness has improved after 2 weeks of use*
93% agree it feels like the moisture layer around the eyes has improved after 2 weeks of use*
Skin concerns: dryness, loss of firmness and elasticity, fine lines, wrinkles
Targets: eye bags, crow's feet, eyelids
Formulation: Rich Cream
Provides long-lasting moisturization and helps firm skin around the eye area
Formulated with two Napiers formulas, Peptides, Ceramide, and Squalane to visibly firm and reduce fine lines and wrinkles around the eye area
Dermatologically Tested
Ideal for all skin types
*Based on a consumer study
Formulated Without
Mineral oil
Synthetic fragrances
Synthetic colors
Synthetic preservatives
Item 2619879","Water/Eau, Dipropylene Glycol, Butylene Glycol, Glycerin, Squalane, Cyclopentasiloxane, Caprylyl Trimethicone, Dimethicone, HDI/Trimethylol Hexyllactone Crosspolymer, 1,2-Hexanediol, Sucrose Polystearate, Glyceryl Stearate, Panthenol, PCA Dimethicone, Triethylhexanoin, Dimethicone/Vinyl Dimethicone Crosspolymer, PEG-100 Stearate, C14-22 Alcohols, Silica, Ceramide NP, Hydrogenated Lecithin, Cedrol, Hydrogenated Polyisobutene, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, PEG-10 Rapeseed Sterol, Carbomer, C12-20 Alkyl Glucoside, Tromethamine, Polysorbate 60, Glycereth-20, Cellulose, Trisodium EDTA, Sorbitan Isostearate, Bakuchiol, Caffeine, Centella Asiatica Leaf Extract, Calendula Officinalis FLower Extract*, Avena Sativa (Oat) Kernel Extract*, Nepeta Cataria Extract*, Rubus Idaeus (Raspberry) Leaf Extract*, Baptisia Tinctoria Root Extract*, Stellaria Media (Chickweed) Extract*, Alchemilla Vulgaris Leaf Extract†, Spiraea Ulmaria Flower Extract†, Viola Tricolor Extract†, Achillea Millefolium Flower Extract, Symphytum Officinale Leaf Extract, Trifolium Pratense (Clover) Flower Extract, Menyanthes Trifoliata Leaf Extract, Salix Alba (Willow) Bark Extract, Sodium Lactate, Polysorbate 20, Caprylyl Glycol, Palmitoyl Tripeptide-1, Acetyl Hexapeptide-8, Palmitoyl Tetrapeptide-7, Citrus Aurantium Dulcis (Orange) Peel Oil‡, Citrus Aurantifolia (Lime) Oil‡, Pelargonium Graveolens Flower Oil‡, Rosmarinus Officinalis (Rosemary) Leaf Oil‡, Limonene, Citronellol, Geraniol, Citral, Linalool. *Napiers Original Formula
†Napiers Moisture Formula‡Fragrances of Botanical Origin","Before applying moisturizer, take a small amount and gently massage around the eye area using your ring fingers and pat along the contours until product is well absorbed.
Discontinue use if irritation or rash occurs. Consult a physician if irritation persists. Do not use on broken or damaged skin. Keep out of reach of children. Do not store at extreme temperatures or in direct sunlight. For external use only."
pimprod2049687,NuFACE,FIX MicroWand Starter Kit,Skincare Tools,Anti-Aging,$195.00,,https://media.ulta.com/i/ulta/2627693?w=100&h=100&fmt=auto,36 Reviews,"Benefits
FDA-CLEARED -Rigorously tested -Safe & effective
CLINICALLY PROVEN RESULTS -Clinically proven to smooth fine lines and wrinkles and create the appearance of fuller-looking lips in minutes* -*Results from a consumer post-treatment questionnaire, assessed within 2 minutes post-treatment.
DEPUFF UNDEREYES -Use FIX MicroWand to depuff under eye bags and tighten skin for a wide awake, refreshed appearance. -Blur the look of crow's feet, fine lines, and 11 lines between the brows in minutes.
PLUMP LIPS -Use FIX MicroWand around the lip line to enhance circulation and create the appearance of plumper, fuller-looking lips. -Perfect your pout by buffing away smile lines and fine lines around the lip area.
SMOOTH LINES -The FIX MicroWand delivers gentle microcurrent to the skin to instantly blur fine lines and wrinkles for a fresh, flawless skin finish. - Ideal for prepping skin before makeup application for a filter-like appearance.
QUICK, 3 MINUTE TREATMENTS -Follow along with targeted 3-minute treatments for eyes, lips, and lines in the NuFACE® Smart App -Built-in treatment timer and auto shut-off feature makes treatments effortless
Research Results
97% saw an instant reduction in fine lines around the eyes*.
92% saw instantly plumper-looking lips*.
95% saw fine lines on the forehead & between brows instantly reduced.*
Includes
NuFACE FIX MicroWand
NuFACE FIX Line Smoothing Serum (0.50 oz)
Micro USB Charging Cable
Quick Start Guide
2-Year Warranty
Item 2627693","Serum: Water/Aqua/Eau, Propanediol, Glycerin, Ethylene/Acrylic Acid Copolymer, Sea Silt Extract, Palmitoyl Hexapeptide-52, Palmitoyl Heptapeptide-18, N-Prolyl Palmitoyl Tripeptide-56 Acetate, Hydrolyzed Hyaluronic Acid, Adenosine, Olivine Extract, Tremella Fuciformis Sporocarp Extract, Betaine, Pentylene Glycol, Carbomer, Xanthan Gum, Poloxamer 338, Tocopherol, Sodium Citrate, Silica, Mica, Caprylyl Glycol, Glyceryl Caprylate, Glyceryl Undecylenate, Ethylhexylglycerin, Benzyl Alcohol, Potassium Sorbate, 1,2-Hexanediol, Lactic Acid/Glycolic Acid Copolymer, Polyvinyl Alcohol, Phenoxyethanol, Sodium Hydroxide, Sodium Metabisulfite, Bismuth Oxychloride (CI 77163), Iron Oxides (CI 77491, CI 77492)","PREP: Cleanse with an oil-free cleanser. Lightly mist Supercharged IonPlex® Mist on skin to hydrate and prep skin for your microcurrent treatment. Shake well before use.
BOOST: Apply 3-5 drops for full face coverage of appropriate NuFACE Booster onto fingertips and massage into clean dry skin until fully absorbed. ACTIVATE + FIX: Apply a mask-like layer of your NuFACE FIX® Serum in sections as you as you treat. Toggle to your preferred treatment mode by quickly pressing the Power Button until your desired treatment mode is illuminated. Perform feathering technique using your NuFACE FIX MicroWand Device, targeting the eyes, mouth, and forehead. FINISH: Apply eye cream, moisturizer, and SPF. Mist Supercharged Ionplex® Mist throughout the day for a refreshing burst of hydration."
